s_m,longitude,latitude,x_local_m,y_local_m,elevation_m,slope_deg,valley_width_m
14700.000000,85.548330,28.315000,16719.577465,3899.851200,3950.928407,4.508270,598.610259
14800.000000,85.547310,28.315000,16619.577465,3899.851200,3943.646812,3.929396,594.907245
14900.000000,85.546290,28.315000,16519.577465,3899.851200,3937.190682,3.607472,592.594598
15000.000000,85.545459,28.315374,16438.173083,3941.197934,3931.037693,3.570175,589.132444
15100.000000,85.544782,28.316051,16371.821572,4016.014222,3924.712266,3.712711,583.266758
15200.000000,85.544106,28.316728,16305.470061,4090.830510,3918.059717,3.841716,574.823079
15300.000000,85.543429,28.317405,16239.118549,4165.646798,3911.282015,4.409267,564.031281
15400.000000,85.542752,28.318081,16172.767038,4240.463086,3902.638016,5.028313,551.094808
15500.000000,85.541860,28.318333,16085.294675,4268.317867,3893.684689,5.200676,536.038527
15600.000000,85.541118,28.318882,16012.575047,4328.974862,3884.434210,5.292525,518.916994
15700.000000,85.540242,28.319167,15926.723977,4360.434533,3875.157567,5.472617,500.141870
15800.000000,85.539222,28.319167,15826.723977,4360.434533,3865.272868,5.764574,480.654045
15900.000000,85.538246,28.319254,15731.053609,4370.061325,3854.967236,6.216295,461.795312
16000.000000,85.537569,28.319931,15664.702098,4444.877613,3843.488360,6.667253,444.930271
16100.000000,85.536612,28.320054,15570.861618,4458.573100,3831.588515,6.908104,431.064842
16200.000000,85.535935,28.320731,15504.510107,4533.389388,3819.256996,7.309242,420.647403
16300.000000,85.535259,28.321408,15438.158596,4608.205676,3805.935132,7.923278,413.617336
16400.000000,85.534582,28.322085,15371.807084,4683.021964,3791.421877,8.394577,409.584334
16500.000000,85.533905,28.322762,15305.455573,4757.838252,3776.421046,8.655400,407.990353
16600.000000,85.533175,28.323333,15233.870489,4821.017867,3760.976886,8.810620,408.178232
16700.000000,85.532155,28.323333,15133.870489,4821.017867,3745.421450,8.822246,409.383828
16800.000000,85.531314,28.323686,15051.423103,4860.045515,3729.935732,8.845062,410.830775
16900.000000,85.530637,28.324363,14985.071592,4934.861803,3714.298729,8.941928,411.873850
17000.000000,85.529940,28.325000,14916.729094,5005.251200,3698.466605,9.035798,412.229235
17100.000000,85.529003,28.325164,14824.879601,5023.373579,3682.493734,9.121072,412.194444
17200.000000,85.528322,28.325833,14758.158396,5097.367867,3666.356348,9.187100,412.761784
17300.000000,85.527369,28.325965,14664.687610,5111.885355,3650.147012,9.157145,415.565726
17400.000000,85.526692,28.326641,14598.336099,5186.701643,3634.116915,8.995986,422.631659
17500.000000,85.525735,28.326765,14504.495619,5200.397130,3618.484488,8.877062,435.923217
17600.000000,85.525058,28.327442,14438.144108,5275.213418,3602.879779,8.470375,456.789324
17700.000000,85.524381,28.328119,14371.792597,5350.029706,3588.699999,7.823250,485.499055
17800.000000,85.523704,28.328796,14305.441085,5424.845994,3575.400503,7.455506,521.047392
17900.000000,85.522872,28.329167,14223.875606,5465.834533,3562.527490,7.376468,561.288243
18000.000000,85.521852,28.329167,14123.875606,5465.834533,3549.508563,7.642272,603.296647
18100.000000,85.521113,28.329720,14051.408615,5527.053257,3535.691592,8.172028,643.867829
18200.000000,85.520235,28.330000,13965.304908,5557.951200,3520.787784,8.623333,680.033528
18300.000000,85.519214,28.330000,13865.304908,5557.951200,3505.361119,8.913288,709.547003
18400.000000,85.518194,28.330000,13765.304908,5557.951200,3489.421098,9.182508,731.249335
18500.000000,85.517174,28.330000,13665.304908,5557.951200,3473.030846,9.201770,745.222454
18600.000000,85.516154,28.330000,13565.304908,5557.951200,3457.021824,8.866055,752.582231
18700.000000,85.515134,28.330000,13465.304908,5557.951200,3441.833066,8.634168,755.125641
